gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
PPM1K,152926,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRELP,5549,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSCA,8000,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RASGRP3,25780,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RNF125,54941,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RPH3A,22895,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RS1,6247,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RYBP,23429,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SHANK2,22941,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SHOC2,8036,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC44A2,57153,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC6A17,388662,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SNX3,8724,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SOX11,6664,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STRA6,64220,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SV2B,9899,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SYVN1,84447,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TFF2,7032,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRAK2,66008,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBASH3B,84959,Unknown,Unknown,ionizing radiation,Unknown,Unknown
USP22,23326,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VNN2,8875,Unknown,Unknown,ionizing radiation,Unknown,Unknown
WIPI1,55062,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZMYND11,10771,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ABCA12,26154,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACBD5,91452,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAMTS8,11095,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAT1,23536,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALMS1,7840,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CATSPER2,117155,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCR9,10803,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CHM,1121,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLIC2,1193,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLIP2,7461,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CNKSR2,22866,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CTHRC1,115908,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CXCL9,4283,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DAZL,1618,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDO,8528,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ELF3,1999,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EPHA8,2046,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ERBIN,55914,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FKBP1B,2281,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FLVCR1,28982,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FUBP1,8880,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GIGYF2,26058,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HBZ,3050,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HNF4G,3174,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HOXB4,3214,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HPS4,89781,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KCNMB4,27345,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KCNS3,3790,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LGALS9,3965,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LGI3,203190,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LMBRD1,55788,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LRRC32,2615,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MOCOS,55034,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MYO18A,399687,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NCAPD2,9918,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NEBL,10529,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NLRP5,126206,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NSMAF,8439,Unknown,Unknown,ionizing radiation,Unknown,Unknown
OXA1L,5018,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PLA1A,51365,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PLXNA4,91584,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POU2F3,25833,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAPGEF5,9771,Unknown,Unknown,ionizing radiation,Unknown,Unknown
REEP1,65055,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RGS7,6000,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RNF19A,25897,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SCD5,79966,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SERPINB7,8710,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SGTA,6449,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC15A2,6565,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC24A2,25769,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC25A27,9481,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC35C1,55343,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLMAP,7871,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SMYD3,64754,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SRPK3,26576,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STXBP3,6814,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TAB3,257397,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TMOD2,29767,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TMPRSS4,56649,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TXNL4A,10907,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UCK2,7371,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UQCRH,7388,Unknown,Unknown,ionizing radiation,Unknown,Unknown
USP48,84196,Unknown,Unknown,ionizing radiation,Unknown,Unknown
WDR45,11152,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YTHDC2,64848,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZP1,22917,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAMTSL4,54507,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANKK1,255239,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANKRD17,26057,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AP1S1,1174,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGEF15,22899,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGEF17,9828,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGEF25,115557,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ASPSCR1,79058,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATP6V0E1,8992,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCRL2,9034,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDC40,51362,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CHCHD2,51142,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLPS,1208,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLTB,1212,Unknown,Unknown,ionizing radiation,Unknown,Unknown
COG1,9382,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CPQ,10404,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CPSF6,11052,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRTC3,64784,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CXXC5,51523,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CYB5R4,51167,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DCTN4,51164,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNALI1,7802,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DR1,1810,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DYNC2LI1,51626,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ECD,11319,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ESM1,11082,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FBXL4,26235,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FERMT2,10979,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FMN1,342184,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FOXA3,3171,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GEMIN2,8487,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GLG1,2734,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GSTA3,2940,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GTPBP4,23560,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IBTK,25998,Unknown,Unknown,ionizing radiation,Unknown,Unknown
INTS8,55656,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KCNA10,3744,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MYH13,8735,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MYLIP,29116,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NAPSA,9476,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NUTF2,10204,Unknown,Unknown,ionizing radiation,Unknown,Unknown
OAS2,4939,Unknown,Unknown,ionizing radiation,Unknown,Unknown
OSBPL2,9885,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PECR,55825,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PEX13,5194,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PHC3,80012,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PHF19,26147,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PIGU,128869,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PIP4K2B,8396,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PMEPA1,56937,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSG1,5669,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAB11FIP2,22841,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RBBP6,5930,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RGMB,285704,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RHCE,6006,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SEMA3D,223117,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SENP8,123228,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC30A5,64924,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SMOX,54498,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SOX8,30812,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRAPPC6B,122553,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TUBGCP3,10426,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBE4A,9354,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBN1,29855,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UPF2,26019,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAMTS14,140766,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AMBN,258,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANKRD11,29123,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGEF28,64283,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATOH7,220202,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CACNG7,59284,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD53,963,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CITED1,4435,Unknown,Unknown,ionizing radiation,Unknown,Unknown
COPG2,26958,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRPPA,729920,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CSMD2,114784,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDX25,29118,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DLEC1,9940,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EPG5,57724,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EPHA6,285220,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GABRQ,55879,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GPRC5D,55507,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LZTS1,11178,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MARCHF5,54708,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MTSS1,9788,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PARVB,29780,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PLXNB3,5365,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPP1R15B,84919,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPP1R1A,5502,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SKAP2,8935,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC24A3,57419,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STRN4,29888,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TDRD9,122402,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TDRKH,11022,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIP10,9322,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TSPAN2,10100,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UCKL1,54963,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ULK4,54986,Unknown,Unknown,ionizing radiation,Unknown,Unknown
WNK2,65268,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZFX,7543,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZNF143,7702,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AMMECR1,9949,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANKRD2,26287,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AP1M2,10053,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BMS1,9790,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BPIFA1,51297,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BRK1,55845,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCL28,56477,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDK17,5128,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CEP72,55722,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CFAP298,56683,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLCC1,23155,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLGN,1047,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLUAP1,23059,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CNTNAP4,85445,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRELD2,79174,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRISP3,10321,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CTBS,1486,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DAND5,199699,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNAH9,1770,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNASE1L1,1774,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EGFLAM,133584,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ESS2,8220,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EXOC6B,23233,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FBXO38,81545,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FMO2,2327,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GAS2,2620,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GGA2,23062,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GRSF1,2926,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KIF16B,55614,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KLHL2,11275,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KLHL22,84861,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KNL1,57082,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LAS1L,81887,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LILRB3,11025,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAB21L1,4081,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIEF1,54471,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MOS,4342,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MPC2,25874,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MTMR9,66036,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDST2,8509,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDUFA3,4696,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NELFCD,51497,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PXK,54899,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PYROXD1,79912,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RBM17,84991,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RBMS1,5937,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RGS3,5998,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RNF41,10193,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RNF6,6049,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SASS6,163786,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SBNO1,55206,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SCG3,29106,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SENP7,57337,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SF3A2,8175,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC25A28,81894,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC28A2,9153,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLITRK3,22865,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SOCS6,9306,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STX17,55014,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TCEA1,6917,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TGIF2,60436,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TMEM98,26022,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIB1,10221,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIM39,56658,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRMT2A,27037,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UHMK1,127933,Unknown,Unknown,ionizing radiation,Unknown,Unknown
USH2A,7399,Unknown,Unknown,ionizing radiation,Unknown,Unknown
USP46,64854,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZBTB40,9923,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ABI3,51225,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACAP3,116983,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACTR10,55860,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALDH8A1,64577,Unknown,Unknown,ionizing radiation,Unknown,Unknown
C1GALT1C1,29071,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CACHD1,57685,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CALHM1,255022,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CATSPER3,347732,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCNT2,905,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDKL3,51265,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CEP70,80321,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLVS1,157807,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLXN,79645,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CMIP,80790,Unknown,Unknown,ionizing radiation,Unknown,Unknown
COQ10B,80219,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CREB3,10488,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CYP4F12,66002,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DCSTAMP,81501,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DGKI,9162,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNAJC8,22826,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DTX3L,151636,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FAM3B,54097,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FBXO28,23219,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FBXO9,26268,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GALNT6,11226,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GEMIN5,25929,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GPR183,1880,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GSE1,23199,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GZF1,64412,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HCFC2,29915,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HIVEP1,3096,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HUNK,30811,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IBA57,200205,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KAT14,57325,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KIF24,347240,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LPCAT4,254531,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MPPED2,744,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MTG2,26164,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NIBAN2,64855,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PARP10,84875,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDE8A,5151,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDZD8,118987,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PEX11A,8800,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POLR2J,5439,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRDM12,59335,Unknown,Unknown,ionizing radiation,Unknown,Unknown
QRICH1,54870,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAB6B,51560,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RABIF,5877,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RASA3,22821,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RHPN1,114822,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SCYL3,57147,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SELENOS,55829,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SEMA4B,10509,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC2A4RG,56731,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SPOPL,339745,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STRBP,55342,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SUMF2,25870,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SZT2,23334,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TAF5L,27097,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TLE2,7089,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TPD52L1,7164,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIM23,373,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIM54,57159,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VTA1,51534,Unknown,Unknown,ionizing radiation,Unknown,Unknown
WDR59,79726,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZFAND6,54469,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZNF473,25888,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AKNA,80709,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AP1S3,130340,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BOLL,66037,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BRINP1,1620,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDC42BPG,55561,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDYL2,124359,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CPNE9,151835,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRIM1,51232,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CTU1,90353,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNAH10,196385,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GJD4,219770,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HELZ,9931,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KCTD9,54793,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KLF9,687,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MARCHF8,220972,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MED20,9477,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MED6,10001,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NIT2,56954,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PHLDB2,90102,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RBM19,9904,Unknown,Unknown,ionizing radiation,Unknown,Unknown
REPIN1,29803,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SEPTIN1,1731,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SEPTIN6,23157,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SERPINA11,256394,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC6A18,348932,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SYPL1,6856,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SYTL5,94122,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TLX2,3196,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TOR1AIP2,163590,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TPST1,8460,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VIRMA,25962,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZSCAN2,54993,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACAD11,84129,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AK9,221264,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALDH16A1,126133,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGAP28,79822,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGAP44,9912,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CAND2,23066,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CASC3,22794,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CBR4,84869,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD302,9936,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDHR3,222256,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDK15,65061,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CORO2A,7464,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CPPED1,55313,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDX60,55601,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DMWD,1762,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNAH17,8632,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DUSP7,1849,Unknown,Unknown,ionizing radiation,Unknown,Unknown
